event_id,target,lepton_pt,lepton_eta,lepton_phi,mem_pt,mem_phi,jet1_pt,jet1_eta,jet1_phi,jet1_btag,jet2_pt,jet2_eta,jet2_phi,jet2_btag,jet3_pt,jet3_eta,jet3_phi,jet3_btag,jet4_pt,jet4_eta,jet4_phi,jet4_btag,m_jj,m_jjj,m_lv,m_jlv,m_bb,m_wbb,m_wwbb
1000011 , 1 , 38.2241 , -0.146365 , -1.79671 , 59.824 , 1.04015 , 65.6277 , 0.330445 , 1.89573 , 1.00001 , 40.1774 , -0.733159 , -2.71376 , 0 , 46.8235 , -2.03261 , -2.01396 , 0 , 29.6668 , -1.12035 , 0.703075 , 1 , 70.654 , 176.866 , 91.3481 , 125.641 , 85.8448 , 218.122 , 318.115
1000012 , 0 , 46.4325 , 0.532362 , 0.650004 , 32.8835 , -1.84952 , 110.741 , 0.812175 , 3.00591 , 1.99994 , 54.9355 , 1.08665 , -1.28842 , 2.00002 , 67.648 , -0.557883 , 0.78748 , 0 , 23.6505 , 1.54195 , 0.641235 , 0 , 76.157 , 186.437 , 83.4332 , 187.738 , 128.711 , 331.983 , 420.865
1000013 , 1 , 115.211 , 0.30785 , -2.94533 , 21.864 , -1.53624 , 16.6009 , -0.855617 , -2.72282 , 0 , 19.7749 , -0.374284 , -1.80563 , 2 , 46.6457 , 1.16959 , 3.05577 , 0 , 186.738 , 0.862756 , 0.208948 , 1.99994 , 71.6682 , 250.582 , 80.493 , 107.589 , 134.106 , 352.899 , 448.373
1000014 , 1 , 73.4816 , 0.488204 , 2.83401 , 45.8811 , 1.73991 , 71.6003 , -0.912158 , -0.341373 , 0 , 166.869 , -0.549079 , 0.477784 , 0.999969 , 218.345 , 2.51733 , -2.26341 , 0 , 47.3099 , 0.911361 , 0.827222 , 2 , 84.8588 , 223.667 , 77.5491 , 135.071 , 142.403 , 407.933 , 635.019
1000015 , 0 , 17.8983 , -0.743814 , -1.50249 , 114.608 , -2.75172 , 56.0993 , -1.06891 , -1.78524 , 2.00002 , 81.3371 , -0.679259 , 0.472335 , 0 , 24.0774 , 0.364528 , -1.44899 , 2 , 45.1006 , -0.351493 , 1.83314 , 0 , 77.2969 , 179.036 , 79.3673 , 187.429 , 61.3175 , 228.306 , 417.995
1000016 , 0 , 22.4528 , -1.6884 , 0.334514 , 65.3471 , 0.289019 , 37.2166 , -0.872218 , -1.66607 , 0 , 66.5831 , 0.247542 , -1.97416 , 1.99994 , 80.3048 , -0.431851 , 2.68061 , 0 , 34.0416 , -0.123004 , 1.35652 , 2 , 88.7889 , 147.507 , 82.3881 , 110.764 , 93.4034 , 230.225 , 359.602
1000017 , 1 , 94.4398 , 0.901891 , -2.18288 , 67.2675 , 0.884602 , 18.1905 , -0.686311 , 0.537008 , 0 , 56.2034 , -0.300592 , 1.56865 , 0 , 138.942 , -0.17941 , -0.0164763 , 1.99994 , 121.422 , -0.0944944 , 2.24259 , 2.00002 , 35.768 , 139.069 , 157.346 , 282.981 , 233.834 , 491.828 , 542.709
1000018 , 1 , 31.5569 , -0.730479 , -2.57302 , 104.115 , 2.62008 , 116.19 , 1.20255 , 0.678242 , 0 , 53.486 , 0.629631 , -2.66534 , 1.99994 , 73.5336 , -0.203804 , -2.3627 , 0 , 87.7067 , 0.206528 , -0.112193 , 2.00002 , 80.7201 , 166.263 , 80.16 , 133.865 , 123.945 , 302.334 , 493.309
1000019 , 1 , 37.1559 , -0.504446 , 0.363111 , 28.6918 , -1.92807 , 102.166 , 0.044399 , 1.53123 , 1.99994 , 47.4646 , 0.762001 , -0.499906 , 0 , 81.9276 , 0.51691 , -1.78261 , 0 , 52.5294 , -0.261751 , 3.02049 , 2 , 73.486 , 168.982 , 81.6387 , 199.575 , 102.204 , 300.393 , 445.702
1000020 , 1 , 32.7164 , -0.445173 , -1.28526 , 100.223 , 0.599387 , 21.2968 , 1.5763 , 3.09359 , 0 , 35.6823 , 1.68306 , -0.772684 , 2 , 15.6953 , -2.32431 , -1.17386 , 0 , 109.344 , 0.836526 , 2.7446 , 1.99994 , 124.428 , 205.356 , 94.0683 , 287.002 , 129.117 , 357.809 , 525.728
1000021 , 0 , 16.5589 , 1.05117 , 1.7872 , 20.4724 , -2.32402 , 164.096 , -1.07686 , -0.956051 , 2.00002 , 146.681 , -0.146096 , 2.12072 , 0.999969 , 27.6329 , -0.987802 , 2.53892 , 0 , 26.8362 , 0.811179 , -0.869673 , 0 , 79.7046 , 166.119 , 79.4971 , 209.995 , 319.873 , 428.33 , 506.977
1000022 , 0 , 23.6393 , 1.1936 , 0.652049 , 68.6154 , -1.88436 , 91.7876 , 0.504812 , -0.315446 , 1.99994 , 60.716 , 1.42171 , 2.1705 , 0 , 118.732 , 0.661839 , 1.67509 , 0 , 49.0161 , -2.22256 , -1.83219 , 0 , 82.2026 , 181.199 , 78.1023 , 143.576 , 92.5313 , 334.545 , 465.692
1000023 , 0 , 25.0621 , 1.64785 , 0.975413 , 41.0746 , 0.637108 , 45.4144 , -2.74383 , -0.118042 , 0 , 66.2082 , -1.30803 , -1.88381 , 2.00002 , 16.82 , -1.91147 , -0.209528 , 0 , 97.1698 , 0.316321 , 2.66671 , 1.99994 , 66.3442 , 141.25 , 81.4208 , 180.253 , 182.971 , 401.161 , 599.99
1000024 , 1 , 14.9942 , 1.58403 , -2.28652 , 35.6346 , 0.937416 , 45.4118 , 1.12768 , 1.92001 , 1.00001 , 23.4371 , -0.644589 , -1.44407 , 2 , 32.7463 , -1.32975 , -3.0092 , 0 , 41.0248 , -1.85912 , -0.553596 , 0 , 70.9836 , 232.655 , 75.2497 , 114.294 , 96.9911 , 282.48 , 380.761
1000025 , 0 , 68.025 , 0.275366 , -1.66327 , 35.2351 , 0.449961 , 35.3268 , -2.00103 , 2.05706 , 0 , 29.6048 , -0.765537 , -2.06702 , 0 , 59.2587 , -1.02133 , 0.0966644 , 1 , 76.2018 , 0.336823 , 2.07028 , 1.99994 , 74.4178 , 189.44 , 86.2541 , 165.288 , 147.915 , 277.976 , 434.841
1000026 , 1 , 39.4558 , 0.61522 , -2.26281 , 48.8705 , 1.43567 , 28.5205 , 1.34624 , 2.47779 , 2 , 64.4004 , -1.09779 , 0.248318 , 0 , 84.9918 , -0.890749 , 2.81925 , 0 , 127.324 , -1.01422 , -1.1962 , 1.99994 , 131.775 , 241.488 , 86.4773 , 274.497 , 195.883 , 409.801 , 515.369
1000027 , 0 , 26.6013 , 0.950408 , 2.87009 , 59.7924 , -0.584585 , 61.0309 , 0.765153 , -1.1119 , 2.00002 , 18.1838 , -0.481967 , 1.26589 , 0 , 102.351 , 0.567784 , 1.0691 , 0 , 85.3825 , -0.205488 , -3.10126 , 1.99994 , 47.2567 , 167.052 , 79.8145 , 173.775 , 134.052 , 298.911 , 370.931
1000028 , 0 , 76.3007 , 1.40176 , -0.189545 , 33.1903 , -1.69219 , 40.3503 , 0.345076 , 1.48751 , 0 , 93.9457 , 0.87788 , 2.39651 , 1.99994 , 27.3354 , -0.68811 , -0.657511 , 0 , 37.6767 , -0.174071 , -1.67032 , 2 , 71.524 , 162.745 , 82.0497 , 146.583 , 122.148 , 282.37 , 395.078
1000029 , 1 , 43.4139 , -1.11854 , 1.52642 , 71.751 , 1.62301 , 271.986 , 1.34915 , -1.5633 , 0 , 135.797 , -1.85189 , -2.66234 , 0 , 29.602 , -0.55336 , -2.92456 , 2 , 248.113 , -0.353186 , 1.11968 , 0 , 43.0787 , 176.455 , 78.672 , 159.66 , 72.0715 , 258.248 , 496.562
1000030 , 1 , 137.556 , -1.26738 , -1.0007 , 23.543 , 2.93237 , 46.9139 , -2.19204 , 0.777579 , 0 , 44.5263 , -1.32843 , 0.77624 , 0 , 26.4651 , 0.148192 , 1.35924 , 2 , 135.271 , -1.09107 , 2.97096 , 0.999969 , 44.1807 , 129.055 , 106.636 , 262.918 , 112.375 , 350.218 , 477.998
1000031 , 0 , 33.3222 , -1.28589 , 1.23273 , 41.5862 , -1.87692 , 131.93 , -0.756162 , -0.589388 , 1.99994 , 20.0833 , -1.44609 , 2.55015 , 0 , 29.8126 , 0.829613 , -2.19682 , 0 , 104.887 , -0.35896 , 2.1418 , 2.00002 , 75.5176 , 196.307 , 83.8912 , 214.391 , 218.134 , 345.908 , 443.821
1000032 , 1 , 40.1904 , -1.38745 , -2.52193 , 33.8804 , -0.784803 , 39.9199 , -1.65929 , -0.207397 , 0 , 34.4123 , -0.543554 , 2.59125 , 2.00002 , 25.6202 , 0.291446 , 0.158707 , 0 , 31.2569 , 1.41586 , 2.42812 , 1 , 75.6924 , 191.167 , 78.693 , 145.359 , 80.5924 , 343.984 , 456.219
1000033 , 1 , 80.4869 , 1.03634 , -0.865942 , 60.4995 , 0.690365 , 47.9158 , 1.5328 , 1.75545 , 0 , 102.196 , 0.458853 , 2.90811 , 1.99994 , 84.5867 , 0.702759 , 0.436403 , 0 , 82.9832 , -0.65269 , -2.22464 , 2.00002 , 94.4809 , 229.83 , 97.2862 , 280.375 , 141.428 , 411.039 , 558.166
1000034 , 0 , 62.3525 , -1.37634 , 1.76194 , 49.3496 , 0.502778 , 31.6204 , 0.834154 , -2.26377 , 2 , 16.4306 , -2.34146 , 2.9043 , 0 , 68.8424 , -0.84221 , -1.31669 , 1.99994 , 20.5985 , -1.52158 , 2.74494 , 0 , 36.4728 , 142.546 , 81.0736 , 184.913 , 97.7222 , 274.209 , 353.098
1000035 , 0 , 35.0719 , 1.13692 , 2.79018 , 78.3055 , -1.06055 , 18.2354 , -1.36584 , -1.58524 , 0 , 38.3992 , -2.14003 , 0.660648 , 0 , 45.1673 , 0.142719 , -0.291462 , 2.00002 , 66.6472 , -1.35543 , 2.03838 , 0 , 77.3647 , 190.976 , 94.1017 , 209.125 , 93.9306 , 261.69 , 555.112
1000036 , 0 , 31.0738 , 0.629184 , 1.70894 , 120.68 , 2.63602 , 149.881 , -0.184002 , -0.295613 , 0 , 133.24 , 0.708088 , -2.90792 , 1.00001 , 189.245 , 0.527832 , -0.389162 , 2.00002 , 180.71 , 0.36231 , 2.13843 , 0 , 130.786 , 296.882 , 74.697 , 203.309 , 290.472 , 566.017 , 721.074
1000037 , 1 , 76.1999 , -1.06557 , 2.79789 , 24.6972 , 1.57597 , 151.741 , -0.835597 , -0.28756 , 2.00002 , 90.1568 , -0.16668 , 3.06679 , 0.999969 , 71.86 , 0.257757 , -2.11157 , 0 , 79.0197 , -1.19613 , 0.780786 , 0 , 85.0332 , 156.437 , 80.2417 , 257.777 , 226.828 , 389.133 , 537.184
1000038 , 1 , 26.7079 , 2.32997 , 2.40607 , 69.5884 , -0.912382 , 47.8067 , 1.73993 , 2.2577 , 0 , 58.0183 , 0.84211 , -0.0647954 , 2 , 143.589 , 0.563816 , 1.56391 , 1.99994 , 160.91 , 1.06591 , -2.05902 , 0 , 83.0687 , 154.68 , 86.5388 , 304.662 , 129.937 , 357.945 , 465.292
1000039 , 1 , 36.1552 , -0.448881 , 0.0414751 , 14.7646 , 2.11868 , 58.103 , -0.905767 , 2.31183 , 1.00001 , 50.3839 , 0.560839 , 1.77849 , 0 , 103.105 , -1.43869 , -1.1682 , 1.99994 , 25.9872 , -1.31247 , -2.33456 , 0 , 106.578 , 152.681 , 82.1754 , 151.13 , 146.946 , 317.816 , 412.26
1000040 , 0 , 73.6249 , -0.358927 , 0.385414 , 54.4838 , 0.222437 , 35.2587 , -0.105718 , -0.0789028 , 0 , 101.719 , 0.477023 , -2.23229 , 0.999969 , 78.5946 , 0.273558 , 3.1139 , 2.00002 , 19.1881 , 2.75788 , 1.50734 , 0 , 108.341 , 199.212 , 83.4999 , 227.956 , 81.2038 , 330.571 , 461.099
1000041 , 0 , 159.243 , -0.978631 , 0.163205 , 5.25153 , 2.02283 , 80.1269 , 0.980801 , 2.65727 , 0 , 162.424 , -0.831552 , -0.779755 , 2.00002 , 58.2709 , -0.366122 , -2.37832 , 2.00002 , 192.888 , 0.135077 , 2.62826 , 0 , 98.072 , 180.775 , 77.8451 , 186.654 , 142.548 , 481.52 , 695.781
1000042 , 0 , 30.7611 , -0.566382 , 1.20154 , 83.6141 , -0.5706 , 101.063 , 0.707555 , 3.00064 , 2.00002 , 28.4396 , 1.02046 , 2.3671 , 2 , 66.7466 , 1.48659 , 0.0928404 , 0 , 69.8982 , 1.69609 , 1.59611 , 0 , 76.7174 , 199.1 , 78.0572 , 174.75 , 42.1102 , 314.346 , 484.964
1000043 , 1 , 45.6135 , -0.397727 , 1.16403 , 51.1434 , -0.601056 , 113.735 , 2.22924 , -0.83283 , 0 , 223.486 , 1.40936 , 2.31786 , 0 , 66.5461 , -0.588686 , -1.63572 , 0 , 66.4927 , 0.601626 , 1.02561 , 2 , 77.272 , 164.53 , 75.7495 , 167.66 , 113.005 , 335.527 , 416.188
1000044 , 1 , 107.553 , -0.331724 , 1.15183 , 63.7622 , 0.366247 , 26.3713 , -2.67181 , -2.86569 , 0 , 41.8055 , -0.468321 , -0.599121 , 2.00002 , 20.091 , 0.643616 , 2.06347 , 0 , 108.287 , -0.39226 , -2.87893 , 1.99994 , 118.667 , 176.007 , 79.1043 , 248.686 , 122.652 , 310.482 , 474.821
1000045 , 1 , 27.381 , 0.59985 , 2.25924 , 53.977 , -0.977817 , 48.9738 , 0.968886 , -0.785835 , 0 , 47.7341 , 0.0534678 , 2.93541 , 0 , 56.777 , 0.301922 , -2.45455 , 2 , 57.809 , -0.632683 , 2.39089 , 2.00002 , 103.198 , 184.854 , 81.6249 , 139.268 , 101.43 , 244.531 , 340.047
1000046 , 1 , 58.3498 , -1.45216 , -2.54363 , 36.306 , -0.762657 , 30.258 , -1.41202 , 0.366247 , 2 , 110.1 , -1.02091 , -1.3984 , 0 , 119.747 , -0.876463 , 2.18498 , 0 , 60.2711 , -1.27223 , 1.0123 , 2.00002 , 212.717 , 254.876 , 76.7563 , 159.832 , 30.5374 , 304.48 , 430.637
1000047 , 1 , 47.2392 , 1.10591 , 0.659071 , 38.9962 , -3.10702 , 71.69 , -1.90193 , -2.10546 , 0 , 82.9736 , 1.65356 , 1.17476 , 0 , 66.1942 , 0.260385 , -1.55804 , 0 , 20.2767 , -0.727712 , -2.83472 , 2 , 77.4998 , 166.143 , 81.1262 , 135.157 , 52.9275 , 203.056 , 488.807
1000048 , 1 , 40.589 , 0.31607 , -1.27656 , 51.1738 , 1.28915 , 43.8769 , -1.34089 , -1.18384 , 0 , 60.8581 , -0.781114 , 3.01019 , 2 , 127.764 , 1.34642 , 1.51525 , 0 , 113.046 , -0.533121 , -0.871774 , 0 , 84.9061 , 136.755 , 90.4544 , 147.721 , 54.6843 , 238.547 , 315.406
1000049 , 0 , 34.4605 , 0.319109 , 2.93331 , 67.0553 , -1.9329 , 19.6704 , -0.0298269 , -1.72734 , 0 , 45.6828 , 0.176719 , 1.77682 , 0 , 43.8257 , -0.745673 , 1.45358 , 1.99994 , 49.695 , 0.651806 , -0.300473 , 2.00002 , 58.4201 , 117.528 , 80.7829 , 159.219 , 101.32 , 227.691 , 286.709
1000050 , 0 , 77.7868 , 0.293685 , 2.81625 , 80.1589 , 2.09111 , 25.2735 , -0.808597 , 2.82654 , 2.00002 , 38.9722 , -0.832359 , -1.99991 , 2 , 117.681 , 1.86249 , 0.385303 , 0 , 125.683 , -1.41269 , -1.2004 , 0 , 82.6246 , 151.313 , 78.24 , 204.095 , 44.3029 , 253.264 , 571.35
1000051 , 0 , 38.4152 , -0.566376 , 0.00988681 , 36.2015 , 0.917789 , 21.7309 , -0.250098 , 1.46718 , 0 , 47.892 , -0.421732 , 0.884962 , 2.00002 , 80.6387 , -0.228228 , -1.58765 , 0 , 72.412 , -0.198117 , 2.81723 , 2.00002 , 84.9351 , 159.579 , 80.6754 , 117.492 , 94.9665 , 216.064 , 339.586
1000052 , 1 , 21.4203 , -0.814175 , -0.107545 , 73.0118 , -0.954727 , 159.563 , 0.012113 , -2.04144 , 0 , 90.2429 , -0.0847107 , -0.316849 , 1.00001 , 36.3746 , 0.511402 , 1.28101 , 0 , 271.77 , 0.842835 , 2.03259 , 0.999969 , 80.4244 , 221.377 , 82.8123 , 349.008 , 318.719 , 570.904 , 694.629
1000053 , 0 , 36.9772 , -1.82645 , -2.82238 , 18.8357 , 0.896534 , 33.5031 , -0.959829 , 0.277673 , 0 , 70.2825 , -1.50045 , -2.2924 , 0 , 150.671 , -0.191302 , 0.926498 , 0.999969 , 50.7732 , 1.13926 , -2.50901 , 2.00002 , 84.9209 , 234.732 , 82.8257 , 199.639 , 203.793 , 420.487 , 547.21
1000054 , 1 , 46.9799 , -0.629625 , -1.39783 , 65.5211 , -2.37309 , 42.7679 , -1.11383 , -0.0647566 , 2 , 43.6614 , -1.21858 , 2.73748 , 0 , 28.364 , -0.1161 , 0.481089 , 0 , 78.6302 , -0.477116 , 1.35952 , 2.00002 , 78.2536 , 120.407 , 80.76 , 140.55 , 85.5398 , 277.472 , 328.389
1000055 , 0 , 57.671 , 1.30799 , -2.52667 , 46.9594 , -0.502165 , 78.1824 , 0.749699 , 0.653398 , 2.00002 , 96.1421 , -0.00858324 , -1.43757 , 0 , 55.0014 , 2.04432 , 1.03436 , 0 , 99.6757 , 0.671735 , 3.04568 , 0 , 126.055 , 173.633 , 88.6523 , 186.786 , 88.5012 , 285.283 , 463.146
1000056 , 1 , 48.7371 , 2.29939 , -1.11983 , 72.4271 , 0.85057 , 63.3186 , 0.190468 , -0.281844 , 0 , 100.835 , 0.568948 , 3.08733 , 0 , 56.4411 , 1.40201 , -1.77104 , 0 , 62.8585 , 1.22613 , 2.57322 , 0 , 74.3026 , 120.368 , 101.287 , 155.703 , 26.165 , 213.85 , 305.245
1000057 , 1 , 54.3941 , 0.165076 , -1.97944 , 66.5828 , -1.02154 , 67.9488 , 1.03993 , 2.77738 , 2.00002 , 101.942 , 0.453035 , 1.41766 , 1.99994 , 31.673 , 1.70007 , -1.04154 , 0 , 48.2897 , 1.89781 , 0.627167 , 0 , 81.9966 , 175.415 , 81.0112 , 222.615 , 120.555 , 375.168 , 440.037
1000058 , 0 , 85.1903 , -0.935823 , -2.3076 , 59.0766 , 2.29832 , 33.0552 , -0.958603 , 1.26466 , 0 , 84.0526 , -0.41001 , 1.43065 , 1.99994 , 62.8373 , -0.761364 , -0.147254 , 1.00001 , 76.0863 , -1.12937 , -1.53957 , 0 , 94.0449 , 198.725 , 105.507 , 191.503 , 98.6514 , 291.717 , 418.895
1000059 , 1 , 15.8846 , -1.88283 , 2.38724 , 64.4342 , 0.0554653 , 59.4979 , -0.626204 , -2.66876 , 0 , 34.0139 , 0.619658 , 1.70746 , 0 , 94.8584 , -1.05518 , -1.57386 , 1.99994 , 66.2187 , -1.16524 , 1.48186 , 2.00002 , 89.2502 , 171.052 , 82.779 , 171.296 , 157.002 , 298.812 , 393.505
1000060 , 1 , 49.0595 , 0.520027 , 2.85872 , 118.236 , -2.2592 , 36.0808 , 1.4183 , -0.574747 , 2.00002 , 118.063 , 0.541604 , 2.08401 , 0 , 35.8583 , -0.0471245 , -0.649868 , 0 , 148.153 , 0.150462 , -0.121484 , 2.00002 , 81.4972 , 159.334 , 86.838 , 170.827 , 105.36 , 357.308 , 487.419
1000061 , 0 , 37.9402 , 1.19308 , -1.71566 , 39.8525 , 1.54243 , 84.4631 , 0.809508 , -0.0258633 , 0 , 41.1481 , 0.190919 , 1.24592 , 2.00002 , 33.7836 , 0.813349 , 2.75747 , 0 , 67.7927 , -0.0543049 , -3.04552 , 2.00002 , 65.5323 , 119.728 , 79.9752 , 181.417 , 88.4569 , 224.689 , 311.375
1000062 , 1 , 51.1262 , 0.118436 , -2.10082 , 58.888 , 2.03806 , 80.4625 , 0.632121 , 2.03469 , 2.00002 , 125.623 , -1.57096 , 2.6786 , 0 , 165.238 , 0.454774 , -0.737019 , 0 , 47.3368 , 2.13088 , -1.47944 , 0 , 83.0131 , 145.187 , 97.7618 , 157.015 , 100.374 , 306.302 , 459.745
1000063 , 1 , 118.772 , 1.45144 , -2.36601 , 48.13 , 0.140928 , 75.5038 , 1.35533 , 1.90317 , 1.99994 , 29.6739 , 0.20004 , -0.449805 , 0 , 20.2621 , 1.62913 , -0.773194 , 0 , 55.3941 , -2.61357 , 1.24348 , 0 , 41.7769 , 136.992 , 141.177 , 240.124 , 95.6584 , 321.421 , 394.51
1000064 , 0 , 65.2538 , -0.443471 , -0.114201 , 27.259 , -1.40889 , 73.1767 , -0.855341 , 2.30289 , 2.00002 , 80.1067 , -1.76661 , 2.68963 , 0 , 44.9648 , 0.398109 , -1.34037 , 2 , 75.8272 , -0.991873 , 0.271191 , 0 , 71.2898 , 139.038 , 79.8476 , 151.205 , 138.865 , 293.975 , 449.939
1000065 , 1 , 43.5445 , 0.711436 , -2.36975 , 19.5485 , -2.93141 , 20.7293 , -1.42112 , -1.15248 , 0 , 117.288 , 0.740202 , 0.604664 , 0 , 49.5568 , -0.416824 , 2.42222 , 1.00001 , 107.249 , 0.226335 , -2.15395 , 2.00002 , 75.7712 , 178.015 , 80.0007 , 185.618 , 112.568 , 325.212 , 467.102
1000066 , 0 , 21.377 , -1.45153 , -0.216409 , 5.71269 , 0.804356 , 63.9517 , -2.8495 , -0.285541 , 0 , 72.9936 , 0.652886 , 1.55499 , 0.999969 , 24.5087 , -0.0461094 , 2.22616 , 0 , 82.9388 , 0.252741 , -3.05308 , 2.00002 , 120.036 , 360.806 , 78.8595 , 148.158 , 119.218 , 544.142 , 664.961
1000067 , 1 , 33.3151 , -1.32907 , -0.577942 , 77.7717 , -2.68733 , 97.6837 , -0.0547007 , 1.14075 , 1.00001 , 39.7884 , -0.0294579 , 3.00072 , 0 , 78.0078 , -1.78711 , -0.404829 , 0 , 37.14 , 0.908941 , -3.10157 , 2 , 151.426 , 272.162 , 91.9101 , 239.795 , 120.165 , 358.653 , 512.437
1000068 , 0 , 60.7249 , -0.625764 , -1.82088 , 173.163 , -1.3298 , 31.0939 , 0.0995777 , -2.92475 , 2 , 121.626 , -1.1578 , 1.93902 , 1.99994 , 25.4364 , -0.995906 , 2.40424 , 0 , 93.6402 , 2.27174 , 0.653554 , 0 , 219.857 , 307.402 , 82.0157 , 325.733 , 109.824 , 657.454 , 1113.7
1000069 , 0 , 73.8426 , -0.352786 , -1.79471 , 22.3761 , 1.79153 , 34.2438 , -1.37172 , 0.592489 , 2.00002 , 18.5931 , -1.78394 , 1.41304 , 0 , 45.4822 , -0.744142 , 0.372601 , 1.99994 , 35.5904 , -1.64924 , -2.4904 , 0 , 69.167 , 140.002 , 76.9179 , 142.536 , 29.4966 , 191.387 , 339.096
1000070 , 0 , 34.3818 , -0.637826 , -1.46861 , 33.725 , -0.109583 , 166.263 , -0.489718 , -0.0305741 , 0 , 192.709 , -0.705162 , 3.07164 , 0 , 57.6948 , 2.10791 , 2.58242 , 0 , 61.0562 , 1.19651 , -0.122791 , 2.00002 , 81.734 , 157.149 , 81.3004 , 285.214 , 105.687 , 375.911 , 546.372
1000071 , 1 , 42.2293 , 0.35627 , 1.99959 , 43.5164 , 2.38031 , 18.0928 , 2.47028 , -1.77825 , 0 , 33.4657 , 0.59298 , -2.96537 , 0 , 46.1488 , -0.460182 , -0.173687 , 2.00002 , 69.6201 , -1.37749 , -0.793297 , 0.999969 , 64.0822 , 155.95 , 83.536 , 196.766 , 65.6482 , 385.797 , 487.349
